timestamps,TP9,AF7,AF8,TP10,Right AUX
1606398311.008,-36.621,-28.809,-21.484,-35.156,0.000
1606398311.012,-33.203,-37.109,-27.344,-28.320,0.000
1606398311.016,-35.645,-30.762,-39.551,-30.273,0.000
1606398311.020,-41.504,-31.250,-38.086,-35.156,0.000
1606398311.024,-48.340,-34.668,-35.156,-38.574,0.000
1606398311.028,-44.922,-26.367,-33.691,-30.762,0.000
1606398311.032,-33.203,-37.598,-29.297,-19.043,0.000
1606398311.036,-25.879,-47.363,-21.973,-21.973,0.000
1606398311.040,-31.738,-38.086,-20.996,-32.715,0.000
1606398311.043,-39.551,-21.973,-26.855,-37.109,0.000
1606398311.047,-41.016,-19.043,-24.902,-39.062,0.000
1606398311.051,-38.574,-30.762,-30.762,-39.551,0.000
1606398311.055,-33.691,-30.273,-51.270,-32.227,0.000
1606398311.059,-29.785,-27.832,-50.781,-32.715,0.000
1606398311.063,-31.738,-42.969,-25.879,-35.645,0.000
1606398311.067,-33.691,-41.504,-18.066,-39.062,0.000
1606398311.071,-27.832,-27.344,-22.949,-35.645,0.000
1606398311.075,-25.879,-19.531,-24.902,-26.855,0.000
1606398311.079,-32.227,-17.578,-25.391,-31.738,0.000
1606398311.083,-40.039,-28.809,-30.273,-39.551,0.000
1606398311.086,-36.133,-30.273,-29.297,-39.062,0.000
1606398311.090,-33.691,-30.273,-37.598,-31.250,0.000
1606398311.094,-35.156,-29.297,-43.457,-26.367,0.000
1606398311.098,-36.133,-34.668,-30.273,-25.391,0.000
1606398311.102,-39.551,-49.316,-25.879,-27.832,0.000
1606398311.106,-34.180,-46.875,-30.273,-23.438,0.000
1606398311.110,-27.832,-40.527,-35.645,-10.742,0.000
1606398311.114,-26.367,-24.414,-42.969,-9.766,0.000
1606398311.118,-29.297,-12.695,-35.645,-15.137,0.000
1606398311.122,-30.762,-22.949,-23.438,-16.113,0.000
1606398311.126,-34.180,-33.203,-25.879,-26.855,0.000
1606398311.129,-41.016,-31.250,-32.715,-27.832,0.000
1606398311.133,-27.832,-31.738,-32.715,-14.160,0.000
1606398311.137,-16.113,-43.945,-39.062,-7.812,0.000
1606398311.141,-24.414,-44.922,-41.016,-14.648,0.000
1606398311.145,-33.691,-37.109,-41.504,-22.949,0.000
1606398311.149,-29.297,-33.691,-35.156,-17.090,0.000
1606398311.153,-26.855,-37.109,-28.320,-12.207,0.000
1606398311.157,-28.320,-28.809,-31.738,-14.648,0.000
1606398311.161,-33.691,-23.438,-29.785,-22.461,0.000
1606398311.165,-48.340,-34.180,-25.879,-32.715,0.000
1606398311.168,-40.039,-46.875,-37.598,-29.785,0.000
1606398311.172,-25.391,-52.734,-49.805,-15.625,0.000
1606398311.176,-31.738,-26.367,-37.109,-17.090,0.000
1606398311.180,-40.527,-11.230,-19.531,-28.320,0.000
1606398311.184,-42.480,-14.160,-19.043,-34.180,0.000
1606398311.188,-38.086,-23.926,-25.879,-30.762,0.000
1606398311.192,-29.785,-34.180,-27.344,-13.672,0.000
1606398311.196,-22.461,-32.715,-25.391,-11.719,0.000
1606398311.200,-26.367,-39.062,-26.367,-18.066,0.000
1606398311.204,-41.992,-38.574,-38.086,-27.344,0.000
1606398311.208,-45.410,-26.367,-36.133,-33.691,0.000
1606398311.211,-34.180,-32.715,-23.438,-30.273,0.000
1606398311.215,-30.273,-31.738,-23.926,-31.738,0.000
1606398311.219,-33.691,-36.621,-27.344,-32.227,0.000
1606398311.223,-36.133,-55.176,-33.691,-30.762,0.000
1606398311.227,-39.062,-35.645,-41.992,-31.250,0.000
1606398311.231,-37.598,-16.602,-39.062,-29.297,0.000
